Id,pclass,survived,name
1,1,1,"Allen, Miss. Elisabeth Walton"
2,1,1,"Allison, Master. Hudson Trevor"
3,1,0,"Allison, Miss. Helen Loraine"
4,1,0,"Allison, Mr. Hudson Joshua Creighton"
5,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
6,1,1,"Anderson, Mr. Harry"
7,1,1,"Andrews, Miss. Kornelia Theodosia"
8,1,0,"Andrews, Mr. Thomas Jr"
9,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
10,1,0,"Artagaveytia, Mr. Ramon"
11,1,0,"Astor, Col. John Jacob"
12,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
13,1,1,"Aubart, Mme. Leontine Pauline"
14,1,1,"Barber, Miss. Ellen ""Nellie"""
15,1,1,"Barkworth, Mr. Algernon Henry Wilson"
16,1,0,"Baumann, Mr. John D"
17,1,0,"Baxter, Mr. Quigg Edmond"
18,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
19,1,1,"Bazzani, Miss. Albina"
20,1,0,"Beattie, Mr. Thomson"
21,1,1,"Beckwith, Mr. Richard Leonard"
22,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
23,1,1,"Behr, Mr. Karl Howell"
24,1,1,"Bidois, Miss. Rosalie"
25,1,1,"Bird, Miss. Ellen"
26,1,0,"Birnbaum, Mr. Jakob"
27,1,1,"Bishop, Mr. Dickinson H"
28,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)"
29,1,1,"Bissette, Miss. Amelia"
30,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
31,1,0,"Blackwell, Mr. Stephen Weart"
32,1,1,"Blank, Mr. Henry"
33,1,1,"Bonnell, Miss. Caroline"
34,1,1,"Bonnell, Miss. Elizabeth"
35,1,0,"Borebank, Mr. John James"
36,1,1,"Bowen, Miss. Grace Scott"
37,1,1,"Bowerman, Miss. Elsie Edith"
38,1,1,"Bradley, Mr. George (""George Arthur Brayton"")"
39,1,0,"Brady, Mr. John Bertram"
40,1,0,"Brandeis, Mr. Emil"
41,1,0,"Brewe, Dr. Arthur Jackson"
42,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)"
43,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)"
44,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
45,1,1,"Burns, Miss. Elizabeth Margaret"
46,1,0,"Butt, Major. Archibald Willingham"
47,1,0,"Cairns, Mr. Alexander"
48,1,1,"Calderhead, Mr. Edward Pennington"
49,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)"
50,1,1,"Cardeza, Mr. Thomas Drake Martinez"
51,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)"
52,1,0,"Carlsson, Mr. Frans Olof"
53,1,0,"Carrau, Mr. Francisco M"
54,1,0,"Carrau, Mr. Jose Pedro"
55,1,1,"Carter, Master. William Thornton II"
56,1,1,"Carter, Miss. Lucile Polk"
57,1,1,"Carter, Mr. William Ernest"
58,1,1,"Carter, Mrs. William Ernest (Lucile Polk)"
59,1,0,"Case, Mr. Howard Brown"
60,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)"
61,1,0,"Cavendish, Mr. Tyrell William"
62,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
63,1,0,"Chaffee, Mr. Herbert Fuller"
64,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
65,1,1,"Chambers, Mr. Norman Campbell"
66,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)"
67,1,1,"Chaudanson, Miss. Victorine"
68,1,1,"Cherry, Miss. Gladys"
69,1,1,"Chevre, Mr. Paul Romaine"
70,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)"
71,1,0,"Chisholm, Mr. Roderick Robert Crispin"
72,1,0,"Clark, Mr. Walter Miller"
73,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)"
74,1,1,"Cleaver, Miss. Alice"
75,1,0,"Clifford, Mr. George Quincy"
76,1,0,"Colley, Mr. Edward Pomeroy"
77,1,1,"Compton, Miss. Sara Rebecca"
78,1,0,"Compton, Mr. Alexander Taylor Jr"
79,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
80,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
81,1,0,"Crafton, Mr. John Bertram"
82,1,0,"Crosby, Capt. Edward Gifford"
83,1,1,"Crosby, Miss. Harriet R"
84,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)"
85,1,0,"Cumings, Mr. John Bradley"
86,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)"
87,1,1,"Daly, Mr. Peter Denis "
88,1,1,"Daniel, Mr. Robert Williams"
89,1,1,"Daniels, Miss. Sarah"
90,1,0,"Davidson, Mr. Thornton"
91,1,1,"Davidson, Mrs. Thornton (Orian Hays)"
92,1,1,"Dick, Mr. Albert Adrian"
93,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)"
94,1,1,"Dodge, Dr. Washington"
95,1,1,"Dodge, Master. Washington"
96,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)"
97,1,0,"Douglas, Mr. Walter Donald"
98,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
99,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)"
100,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")"
101,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")"
102,1,0,"Dulles, Mr. William Crothers"
103,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)"
104,1,1,"Endres, Miss. Caroline Louise"
105,1,1,"Eustis, Miss. Elizabeth Mussey"
106,1,0,"Evans, Miss. Edith Corse"
107,1,0,"Farthing, Mr. John"
108,1,1,"Flegenheim, Mrs. Alfred (Antoinette)"
109,1,1,"Fleming, Miss. Margaret"
110,1,1,"Flynn, Mr. John Irwin (""Irving"")"
111,1,0,"Foreman, Mr. Benjamin Laventall"
112,1,1,"Fortune, Miss. Alice Elizabeth"
113,1,1,"Fortune, Miss. Ethel Flora"
114,1,1,"Fortune, Miss. Mabel Helen"
115,1,0,"Fortune, Mr. Charles Alexander"
116,1,0,"Fortune, Mr. Mark"
117,1,1,"Fortune, Mrs. Mark (Mary McDougald)"
118,1,1,"Francatelli, Miss. Laura Mabel"
119,1,0,"Franklin, Mr. Thomas Parham"
120,1,1,"Frauenthal, Dr. Henry William"
121,1,1,"Frauenthal, Mr. Isaac Gerald"
122,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)"
123,1,1,"Frolicher, Miss. Hedwig Margaritha"
124,1,1,"Frolicher-Stehli, Mr. Maxmillian"
125,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)"
126,1,0,"Fry, Mr. Richard"
127,1,0,"Futrelle, Mr. Jacques Heath"
128,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)"
129,1,0,"Gee, Mr. Arthur H"
130,1,1,"Geiger, Miss. Amalie"
131,1,1,"Gibson, Miss. Dorothy Winifred"
132,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)"
133,1,0,"Giglio, Mr. Victor"
134,1,1,"Goldenberg, Mr. Samuel L"
135,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)"
136,1,0,"Goldschmidt, Mr. George B"
137,1,1,"Gracie, Col. Archibald IV"
138,1,1,"Graham, Miss. Margaret Edith"
139,1,0,"Graham, Mr. George Edward"
140,1,1,"Graham, Mrs. William Thompson (Edith Junkins)"
141,1,1,"Greenfield, Mr. William Bertram"
142,1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)"
143,1,0,"Guggenheim, Mr. Benjamin"
144,1,1,"Harder, Mr. George Achilles"
145,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)"
146,1,1,"Harper, Mr. Henry Sleeper"
147,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
148,1,0,"Harrington, Mr. Charles H"
149,1,0,"Harris, Mr. Henry Birkhardt"
150,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)"
151,1,0,"Harrison, Mr. William"
152,1,1,"Hassab, Mr. Hammad"
153,1,1,"Hawksford, Mr. Walter James"
154,1,1,"Hays, Miss. Margaret Bechstein"
155,1,0,"Hays, Mr. Charles Melville"
156,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)"
157,1,0,"Head, Mr. Christopher"
158,1,0,"Hilliard, Mr. Herbert Henry"
159,1,0,"Hipkins, Mr. William Edward"
160,1,1,"Hippach, Miss. Jean Gertrude"
161,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)"
162,1,1,"Hogeboom, Mrs. John C (Anna Andrews)"
163,1,0,"Holverson, Mr. Alexander Oskar"
164,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)"
165,1,1,"Homer, Mr. Harry (""Mr E Haven"")"
166,1,1,"Hoyt, Mr. Frederick Maxfield"
167,1,0,"Hoyt, Mr. William Fisher"
168,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)"
169,1,1,"Icard, Miss. Amelie"
170,1,0,"Isham, Miss. Ann Elizabeth"
171,1,1,"Ismay, Mr. Joseph Bruce"
172,1,0,"Jones, Mr. Charles Cresson"
173,1,0,"Julian, Mr. Henry Forbes"
174,1,0,"Keeping, Mr. Edwin"
175,1,0,"Kent, Mr. Edward Austin"
176,1,0,"Kenyon, Mr. Frederick R"
177,1,1,"Kenyon, Mrs. Frederick R (Marion)"
178,1,1,"Kimball, Mr. Edwin Nelson Jr"
179,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
180,1,0,"Klaber, Mr. Herman"
181,1,1,"Kreuchen, Miss. Emilie"
182,1,1,"Leader, Dr. Alice (Farnham)"
183,1,1,"LeRoy, Miss. Bertha"
184,1,1,"Lesurer, Mr. Gustave J"
185,1,0,"Lewy, Mr. Ervin G"
186,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")"
187,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
188,1,1,"Lines, Miss. Mary Conover"
189,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)"
190,1,0,"Long, Mr. Milton Clyde"
191,1,1,"Longley, Miss. Gretchen Fiske"
192,1,0,"Loring, Mr. Joseph Holland"
193,1,1,"Lurette, Miss. Elise"
194,1,1,"Madill, Miss. Georgette Alexandra"
195,1,0,"Maguire, Mr. John Edward"
196,1,1,"Maioni, Miss. Roberta"
197,1,1,"Marechal, Mr. Pierre"
198,1,0,"Marvin, Mr. Daniel Warner"
199,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)"
200,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")"
201,1,0,"McCaffry, Mr. Thomas Francis"
202,1,0,"McCarthy, Mr. Timothy J"
203,1,1,"McGough, Mr. James Robert"
204,1,0,"Meyer, Mr. Edgar Joseph"
205,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)"
206,1,0,"Millet, Mr. Francis Davis"
207,1,0,"Minahan, Dr. William Edward"
208,1,1,"Minahan, Miss. Daisy E"
209,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)"
210,1,1,"Mock, Mr. Philipp Edmund"
211,1,0,"Molson, Mr. Harry Markland"
212,1,0,"Moore, Mr. Clarence Bloomfield"
213,1,0,"Natsch, Mr. Charles H"
214,1,1,"Newell, Miss. Madeleine"
215,1,1,"Newell, Miss. Marjorie"
216,1,0,"Newell, Mr. Arthur Webster"
217,1,1,"Newsom, Miss. Helen Monypeny"
218,1,0,"Nicholson, Mr. Arthur Ernest"
219,1,1,"Oliva y Ocana, Dona. Fermina"
220,1,1,"Omont, Mr. Alfred Fernand"
221,1,1,"Ostby, Miss. Helene Ragnhild"
222,1,0,"Ostby, Mr. Engelhart Cornelius"
223,1,0,"Ovies y Rodriguez, Mr. Servando"
224,1,0,"Parr, Mr. William Henry Marsh"
225,1,0,"Partner, Mr. Austen"
226,1,0,"Payne, Mr. Vivian Ponsonby"
227,1,0,"Pears, Mr. Thomas Clinton"
228,1,1,"Pears, Mrs. Thomas (Edith Wearne)"
229,1,0,"Penasco y Castellana, Mr. Victor de Satode"
230,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)"
231,1,1,"Perreault, Miss. Anne"
232,1,1,"Peuchen, Major. Arthur Godfrey"
233,1,0,"Porter, Mr. Walter Chamberlain"
234,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)"
235,1,0,"Reuchlin, Jonkheer. John George"
236,1,1,"Rheims, Mr. George Alexander Lucien"
237,1,0,"Ringhini, Mr. Sante"
238,1,0,"Robbins, Mr. Victor"
239,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)"
240,1,0,"Roebling, Mr. Washington Augustus II"
241,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")"
242,1,0,"Rood, Mr. Hugh Roscoe"
243,1,1,"Rosenbaum, Miss. Edith Louise"
244,1,0,"Rosenshine, Mr. George (""Mr George Thorne"")"
245,1,0,"Ross, Mr. John Hugo"
246,1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)"
247,1,0,"Rothschild, Mr. Martin"
248,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)"
249,1,0,"Rowe, Mr. Alfred G"
250,1,1,"Ryerson, Master. John Borie"
251,1,1,"Ryerson, Miss. Emily Borie"
252,1,1,"Ryerson, Miss. Susan Parker ""Suzette"""
253,1,0,"Ryerson, Mr. Arthur Larned"
254,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)"
255,1,1,"Saalfeld, Mr. Adolphe"
256,1,1,"Sagesser, Mlle. Emma"
257,1,1,"Salomon, Mr. Abraham L"
258,1,1,"Schabert, Mrs. Paul (Emma Mock)"
259,1,1,"Serepeca, Miss. Augusta"
260,1,1,"Seward, Mr. Frederic Kimber"
261,1,1,"Shutes, Miss. Elizabeth W"
262,1,1,"Silverthorne, Mr. Spencer Victor"
263,1,0,"Silvey, Mr. William Baird"
264,1,1,"Silvey, Mrs. William Baird (Alice Munger)"
265,1,1,"Simonius-Blumer, Col. Oberst Alfons"
266,1,1,"Sloper, Mr. William Thompson"
267,1,0,"Smart, Mr. John Montgomery"
268,1,0,"Smith, Mr. James Clinch"
269,1,0,"Smith, Mr. Lucien Philip"
270,1,0,"Smith, Mr. Richard William"
271,1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)"
272,1,1,"Snyder, Mr. John Pillsbury"
273,1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)"
274,1,1,"Spedden, Master. Robert Douglas"
275,1,1,"Spedden, Mr. Frederic Oakley"
276,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)"
277,1,0,"Spencer, Mr. William Augustus"
278,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)"
279,1,1,"Stahelin-Maeglin, Dr. Max"
280,1,0,"Stead, Mr. William Thomas"
281,1,1,"Stengel, Mr. Charles Emil Henry"
282,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)"
283,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)"
284,1,0,"Stewart, Mr. Albert A"
285,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)"
286,1,0,"Straus, Mr. Isidor"
287,1,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)"
288,1,0,"Sutton, Mr. Frederick"
289,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)"
290,1,1,"Taussig, Miss. Ruth"
291,1,0,"Taussig, Mr. Emil"
292,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)"
293,1,1,"Taylor, Mr. Elmer Zebley"
294,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)"
295,1,0,"Thayer, Mr. John Borland"
296,1,1,"Thayer, Mr. John Borland Jr"
297,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)"
298,1,1,"Thorne, Mrs. Gertrude Maybelle"
299,1,1,"Tucker, Mr. Gilbert Milligan Jr"
300,1,0,"Uruchurtu, Don. Manuel E"
301,1,0,"Van der hoef, Mr. Wyckoff"
302,1,0,"Walker, Mr. William Anderson"
303,1,1,"Ward, Miss. Anna"
304,1,0,"Warren, Mr. Frank Manley"
305,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)"
306,1,0,"Weir, Col. John"
307,1,0,"White, Mr. Percival Wayland"
308,1,0,"White, Mr. Richard Frasar"
309,1,1,"White, Mrs. John Stuart (Ella Holmes)"
310,1,1,"Wick, Miss. Mary Natalie"
311,1,0,"Wick, Mr. George Dennick"
312,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)"
313,1,0,"Widener, Mr. George Dunton"
314,1,0,"Widener, Mr. Harry Elkins"
315,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)"
316,1,1,"Willard, Miss. Constance"
317,1,0,"Williams, Mr. Charles Duane"
318,1,1,"Williams, Mr. Richard Norris II"
319,1,0,"Williams-Lambert, Mr. Fletcher Fellows"
320,1,1,"Wilson, Miss. Helen Alice"
321,1,1,"Woolner, Mr. Hugh"
322,1,0,"Wright, Mr. George"
323,1,1,"Young, Miss. Marie Grice"
324,2,0,"Abelson, Mr. Samuel"
325,2,1,"Abelson, Mrs. Samuel (Hannah Wizosky)"
326,2,0,"Aldworth, Mr. Charles Augustus"
327,2,0,"Andrew, Mr. Edgardo Samuel"
328,2,0,"Andrew, Mr. Frank Thomas"
329,2,0,"Angle, Mr. William A"
330,2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)"
331,2,0,"Ashby, Mr. John"
332,2,0,"Bailey, Mr. Percy Andrew"
333,2,0,"Baimbrigge, Mr. Charles Robert"
334,2,1,"Ball, Mrs. (Ada E Hall)"
335,2,0,"Banfield, Mr. Frederick James"
336,2,0,"Bateman, Rev. Robert James"
337,2,1,"Beane, Mr. Edward"
338,2,1,"Beane, Mrs. Edward (Ethel Clarke)"
339,2,0,"Beauchamp, Mr. Henry James"
340,2,1,"Becker, Master. Richard F"
341,2,1,"Becker, Miss. Marion Louise"
342,2,1,"Becker, Miss. Ruth Elizabeth"
343,2,1,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)"
344,2,1,"Beesley, Mr. Lawrence"
345,2,1,"Bentham, Miss. Lilian W"
346,2,0,"Berriman, Mr. William John"
347,2,0,"Botsford, Mr. William Hull"
348,2,0,"Bowenur, Mr. Solomon"
349,2,0,"Bracken, Mr. James H"
350,2,1,"Brown, Miss. Amelia ""Mildred"""
351,2,1,"Brown, Miss. Edith Eileen"
352,2,0,"Brown, Mr. Thomas William Solomon"
353,2,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)"
354,2,1,"Bryhl, Miss. Dagmar Jenny Ingeborg "
355,2,0,"Bryhl, Mr. Kurt Arnold Gottfrid"
356,2,1,"Buss, Miss. Kate"
357,2,0,"Butler, Mr. Reginald Fenton"
358,2,0,"Byles, Rev. Thomas Roussel Davids"
359,2,1,"Bystrom, Mrs. (Karolina)"
360,2,1,"Caldwell, Master. Alden Gates"
361,2,1,"Caldwell, Mr. Albert Francis"
362,2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)"
363,2,1,"Cameron, Miss. Clear Annie"
364,2,0,"Campbell, Mr. William"
365,2,0,"Carbines, Mr. William"
366,2,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)"
367,2,0,"Carter, Rev. Ernest Courtenay"
368,2,0,"Chapman, Mr. Charles Henry"
369,2,0,"Chapman, Mr. John Henry"
370,2,0,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)"
371,2,1,"Christy, Miss. Julie Rachel"
372,2,1,"Christy, Mrs. (Alice Frances)"
373,2,0,"Clarke, Mr. Charles Valentine"
374,2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)"
375,2,0,"Coleridge, Mr. Reginald Charles"
376,2,0,"Collander, Mr. Erik Gustaf"
377,2,1,"Collett, Mr. Sidney C Stuart"
378,2,1,"Collyer, Miss. Marjorie ""Lottie"""
379,2,0,"Collyer, Mr. Harvey"
380,2,1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)"
381,2,1,"Cook, Mrs. (Selena Rogers)"
382,2,0,"Corbett, Mrs. Walter H (Irene Colvin)"
383,2,0,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)"
384,2,0,"Cotterill, Mr. Henry ""Harry"""
385,2,0,"Cunningham, Mr. Alfred Fleming"
386,2,1,"Davies, Master. John Morgan Jr"
387,2,0,"Davies, Mr. Charles Henry"
388,2,1,"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) "
389,2,1,"Davis, Miss. Mary"
390,2,0,"de Brito, Mr. Jose Joaquim"
391,2,0,"Deacon, Mr. Percy William"
392,2,0,"del Carlo, Mr. Sebastiano"
393,2,1,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)"
394,2,0,"Denbury, Mr. Herbert"
395,2,0,"Dibden, Mr. William"
396,2,1,"Doling, Miss. Elsie"
397,2,1,"Doling, Mrs. John T (Ada Julia Bone)"
398,2,0,"Downton, Mr. William James"
399,2,1,"Drew, Master. Marshall Brines"
400,2,0,"Drew, Mr. James Vivian"
401,2,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)"
402,2,1,"Duran y More, Miss. Asuncion"
403,2,1,"Duran y More, Miss. Florentina"
404,2,0,"Eitemiller, Mr. George Floyd"
405,2,0,"Enander, Mr. Ingvar"
